coffeepk,lat,lon,name,city,state,street,rating,numofratings,tile
124,40.7304731,-73.9894757,Hidden Grounds,New York,NY,3rd Avenue 36,0.0,0,13576_-24664
125,40.7301234,-73.9941159,Lazy Sundaes,New York,NY,Waverly Place 11,0.0,0,13576_-24665
126,40.7302457,-73.9939666,Matto Espresso,New York,NY,Mercer Street 293,0.0,0,13576_-24665
127,40.7342526,-73.9923138,Starbucks,New York,NY,University Place 111,0.0,0,13578_-24665
128,40.7343881,-73.9910564,Max Brenner,New York,NY,Broadway 841,0.0,0,13578_-24664
129,40.7350879,-73.9933063,Joe Coffee Company,New York,NY,East 13th Street 9,0.0,0,13578_-24665
130,40.7213537,-73.9977481,Citizens,New York,NY,Lafayette Street 201,0.0,0,13573_-24666
131,40.7239788,-73.9964591,La Colombe Coffee Roasters,New York,NY,Lafayette Street 270,0.0,0,13574_-24666
132,40.7208307,-73.9959563,Kolkata Chai Co,New York,NY,Kenmare Street 60,0.0,0,13573_-24666
133,40.7445908,-73.988682,Cha Cha Matcha,New York,NY,Broadway 1158,0.0,0,13581_-24663
134,40.724302,-73.9912261,Kollectiv,New York,NY,Unknown Street,0.0,0,13574_-24664
135,40.7299427,-73.999592,Third Rail Coffee,New York,NY,Sullivan Street 240,0.0,0,13576_-24667
136,40.7775475,-73.9784645,72nd Eatery,New York,NY,Columbus Avenue 261,0.0,0,13592_-24660
137,40.718849,-73.9966792,Haven Cafe,New York,NY,Mott Street 147,0.0,0,13572_-24666
138,40.7195996,-73.9963707,Chiu Hong Bakery & Restaurant,New York,NY,Unknown Street,0.0,0,13573_-24666
139,40.7218498,-74.0008229,Bibliotheque Cafe & Winebar,New York,NY,Mercer Street 54,0.0,0,13573_-24667
140,40.7172462,-73.9950457,Teado Tea Shop,New York,NY,Hester Street 145,0.0,0,13572_-24666
141,40.7162569,-73.9950007,Yaya Tea Garden,New York,NY,Chrystie Street 51,0.0,0,13572_-24666
142,40.7196388,-73.9895629,Russ & Daughters Cafe,New York,NY,Orchard Street 127,0.0,0,13573_-24664
143,40.7399221,-73.9893996,Cha Cha Matcha,New York,NY,Broadway 922,0.0,0,13579_-24664
144,40.7364478,-73.9909744,Joe Coffee,New York,NY,Union Square West 29,0.0,0,13578_-24664
145,40.7437268,-73.9814828,Penelope,New York,NY,Unknown Street,0.0,0,13581_-24661
146,40.7385396,-73.987301,Blue Bottle Coffee,New York,NY,Park Avenue South 257,0.0,0,13579_-24663
147,40.7368994,-73.986826,Hutch + Waldo,New York,NY,Unknown Street,0.0,0,13578_-24663
148,40.8078217,-73.9450772,Starbucks,New York,NY,Unknown Street,0.0,0,13602_-24649
149,40.7292441,-74.0037022,Daily Provisions,New York,NY,Bedford Street 29,0.0,0,13576_-24668
150,40.7311268,-74.0046067,Bedford Studio,New York,NY,Bedford Street 62,0.0,0,13577_-24669
151,40.7184787,-74.0024786,Blue Bottle Coffee,New York,NY,Broadway 396,0.0,0,13572_-24668
152,40.7157707,-73.9991388,Alimama Tea,New York,NY,Bayard Street 89A,0.0,0,13571_-24667
153,40.7210007,-74.0044453,Caffé Bene,New York,NY,Canal Street 378,0.0,0,13573_-24669
154,40.7165943,-73.9908966,Gather,New York,NY,Unknown Street,0.0,0,13572_-24664
155,40.7157788,-73.9965978,Bake Culture,New York,NY,Bowery 48,0.0,0,13571_-24666
156,40.7157755,-73.9907804,Aujla's,New York,NY,Unknown Street,0.0,0,13571_-24664
157,40.736735,-74.0013586,Roasting Plant,New York,NY,Greenwich Avenue 75,0.0,0,13578_-24668
158,40.7408955,-74.0070903,Jack's Coffee,New York,NY,West 13th Street 425,0.0,0,13580_-24670
159,40.7185051,-73.9945454,Hey Tea,New York,NY,Unknown Street,0.0,0,13572_-24665
160,40.717109,-73.9945679,Kung Fu Tea,New York,NY,Chrystie Street 73,0.0,0,13572_-24665
161,40.7766224,-73.9890983,Blu Café,New York,NY,Riverside Boulevard 120,0.0,0,13592_-24664
162,40.8010399,-73.9618044,Crêpes on Columbus,New York,NY,Columbus Avenue 990,0.0,0,13600_-24654
163,40.7532069,-73.9806932,Pan d'oro,New York,NY,Unknown Street,0.0,0,13584_-24661
164,40.7428458,-73.9999943,16 Handles,New York,NY,8th Avenue 178,0.0,0,13580_-24667
165,40.7047913,-74.0071236,Starbucks,New York,NY,Wall Street 99,0.0,0,13568_-24670
166,40.7607479,-73.9706036,Ninth Street Espresso,New York,NY,East 56th Street 109,0.0,0,13586_-24657
167,40.8414095,-73.9398998,Mike's Bagels,New York,NY,Unknown Street,0.0,0,13613_-24647
168,40.8413365,-73.9399524,Starbucks,New York,NY,Broadway 4001,0.0,0,13613_-24647
169,40.8235504,-73.9490856,Yellow Banana Snack Bar,New York,NY,Amsterdam Avenue 1658,0.0,0,13607_-24650
170,40.7634192,-73.981318,Café Metro,New York,NY,Unknown Street,0.0,0,13587_-24661
171,40.7608044,-73.9837222,Starbucks,New York,NY,7th Avenue 750,0.0,0,13586_-24662
172,40.75555,-73.9840554,Starbucks,New York,NY,6th Avenue 1101,0.0,0,13585_-24662
173,40.7774839,-73.9552436,Starbucks,New York,NY,3rd Avenue 1488,0.0,0,13592_-24652
174,40.7794817,-73.9537572,Starbucks,New York,NY,3rd Avenue 1542,0.0,0,13593_-24652
175,40.7438766,-73.9887987,Starbucks,New York,NY,Broadway 1140,0.0,0,13581_-24663
176,40.7659236,-73.9636686,Starbucks,New York,NY,3rd Avenue 1128,0.0,0,13588_-24655
177,40.7746444,-73.9543658,Starbucks,New York,NY,2nd Avenue 1559,0.0,0,13591_-24652
178,40.7636753,-73.9773838,Starbucks,New York,NY,6th Avenue 1380,0.0,0,13587_-24660
179,40.7653752,-73.9575093,Le Pain Quotidien,New York,NY,1st Avenue 1270,0.0,0,13588_-24653
180,40.7791466,-73.9474467,Starbucks,New York,NY,East 90th Street 400,0.0,0,13593_-24650
181,40.7689352,-73.963462,World Cup Cafe & Bakery,New York,NY,Lexington Avenue 956,0.0,0,13589_-24655
